,Mass
,
0,6781.0413
,
1,6798.0428
,
2,5825.9037
,
3,4579.7738
,
4,4885.7908
,
5,5190.8364
,
6,4234.7271
,
7,2010.4388
,
8,5496.8566
,
9,6475.9924
,
10,6645.9806
,
11,3600.6373
,
12,1681.3891
,
13,6130.9398
,
14,2315.4814
,
15,3905.6749
,
16,6131.9448
,
17,1352.3378
,
18,6813.068
,
19,3294.6165
,
20,2949.5716
,
21,1023.2859
,
22,2620.5193
,
23,6801.0453
,
24,6802.0217
,
25,694.2354
,
26,6476.9944
,
27,6669.9881
,
28,5191.8271
,
29,5826.9178
,
30,6810.0147
,
31,6784.0057
,
32,6670.9808
,
33,3012.9172
,
34,1510.2258
,
35,682.2018
,
36,6756.9911
,
37,6451.8936
,
38,3095.9199
,
39,682.1009
,
40,537.8759
,
41,848.9983
,
42,3027.4023
,
43,1698.2428
,
44,2019.2797
,
45,4624.746
,
46,2888.3764
,
47,4930.7651
,
48,1168.4763
,
49,2015.9333
,
50,2860.4157
,
51,2023.9377
,
52,2535.3712
,
53,3751.5254
,
54,1745.268
,
55,676.105
